StudentID,Name,Gender,Class,Section
S0001,Lara Simmons,Female,10,A
S0002,Brenda Peters,Female,4,C
S0003,Carlos Carlson,Male,1,A
S0004,Jeffrey Giles,Male,5,B
S0005,Stephen Medina,Male,9,A
S0006,Theodore Joseph,Male,4,C
S0007,Margaret Acosta,Male,10,A
S0008,Samuel Parker,Female,10,A
S0009,Andrew Harper,Male,11,B
S0010,David Harrison,Male,11,B
S0011,Nicholas Davis,Male,12,B
S0012,Mary Martinez,Male,9,B
S0013,Brent Rowland DDS,Female,12,C
S0014,Garrett Jacobs,Female,1,B
S0015,Samantha Erickson,Male,12,A
S0016,Ruth Baker,Male,2,A
S0017,Phillip Barnes,Female,4,C
S0018,Kelly Knight,Female,5,C
S0019,Shannon Martinez,Male,12,A
S0020,Zachary Bird,Female,5,C
S0021,William Weaver,Male,2,B
S0022,Alison Knight,Male,12,A
S0023,Jennifer Davis,Male,1,A
S0024,Charles Wu,Male,10,A
S0025,Ray Olson,Male,2,B
S0026,Shaun Sweeney,Female,12,C
S0027,Angela Moore,Female,4,A
S0028,Joshua Fitzpatrick,Male,9,B
S0029,Dr. Sara Garcia DDS,Male,3,B
S0030,Randy Moss,Female,10,B
S0031,Gregory Berg,Female,2,B
S0032,Alfred Ramirez,Female,9,B
S0033,Zachary Dominguez,Male,2,B
S0034,Lacey Lyons,Male,11,B
S0035,Elizabeth Jackson,Female,3,C
S0036,Lee Rodriguez,Male,2,B
S0037,Aaron Vang,Female,11,A
S0038,Ashley Valenzuela,Female,12,C
S0039,Michael Rivas,Female,3,B
S0040,Rebecca Anderson,Female,3,A
S0041,Gregory Russo,Male,12,A
S0042,Mark Anderson,Female,1,A
S0043,Jason Edwards,Female,12,C
S0044,Tom Taylor,Male,7,B
S0045,Edward Yang,Male,8,B
S0046,Mariah Carroll,Male,2,B
S0047,Rachel Williams,Male,3,B
S0048,Rachel Garza,Male,6,C
S0049,Tara Jones,Female,1,C
S0050,Shawn Green,Male,1,B
S0051,Brittany Zimmerman,Female,12,C
S0052,Anne Cantu,Male,4,C
S0053,Heather Rodriguez,Male,11,C
S0054,Charles Howe,Male,3,C
S0055,Lori Miller,Female,12,C
S0056,Ricardo Ryan,Male,6,C
S0057,Kelly Carter,Female,2,B
S0058,Joseph Rogers,Female,6,B
